ForemanID,Task Description,Materials,Quantity,Unit,Unit Price,Budget Cost
F001,Project Billboard/Signboard,Ordinary Plywood 1/2" thk. x 4' x 8',2.00,pc.,780.00,"1,560.00"
F001,Project Billboard/Signboard,Tarpaulin (4' x 8'),2.00,pc.,"1,000.00","2,000.00"
F001,Project Billboard/Signboard,Assorted Lumber,100.00,bd.ft.,37.00,"3,700.00"
F001,Project Billboard/Signboard,Assorted CW Nails,2.00,kg.,60.00,120.00
F001,Occupational Safety and Health Program,"Personal Protective Equipment (includes Hard Hats, Safety Shoes, Gloves, etc.)",1.00,L.S.,"8,000.00","8,000.00"
F001,Occupational Safety and Health Program,Signages,1.00,L.S.,"15,000.00","15,000.00"
F001,Structural Steel,W 10 x 33 Wide Flange,"6,799.95",kg.,50.00,"339,997.50"
F001,Structural Steel,12 mm thk. Base Plate,32.20,kg.,48.00,"1,545.60"
F001,Structural Steel,8 mm thk. Stiffener Plate,42.80,kg.,48.00,"2,054.40"
F001,Structural Steel,20 mm dia. Anchor Bolt,24.00,pc.,36.00,864.00
F001,Structural Steel,Welding Rod,154.30,kg.,163.00,"25,150.90"
F001,Structural Steel,Oxy/Acetylene,7.00,set,"2,500.00","17,500.00"
F001,Removal of Structures and Obstruction,Oxy/Acetylene,1.00,set,"2,500.00","2,500.00"
F001,"Structural Concrete (Class A, 28 days)",Gravel,173.00,cu.m.,"1,200.00","207,600.00"
F001,"Structural Concrete (Class A, 28 days)",Sand,86.50,cu.m.,"1,400.00","121,100.00"
F001,"Structural Concrete (Class A, 28 days)",Portland Cement,"1,574.30",bags,300.00,"472,290.00"
F001,"Structural Concrete (Class A, 28 days) Small Volume",Gravel,5.50,cu.m.,"1,200.00","6,600.00"
F001,"Structural Concrete (Class A, 28 days) Small Volume",Sand,2.75,cu.m.,"1,400.00","3,850.00"
F001,"Structural Concrete (Class A, 28 days) Small Volume",Portland Cement,50.05,bags,300.00,"15,015.00"
