Assignment ID,Task ID,WORKER ID
1,002,PE001
2,003,PE001
3,004,L001
4,005,L002
5,006,SP001
6,007,L003
7,008,L004
8,009,PE001
9,010,L005
10,011,L006
11,012,L007
12,013,L008
13,014,L009
14,015,L010
16,016,L011
17,017,PE001
18,018,PE001
22,019,PE001
23,020,L0012
24,021,L0013
25,022,L0014
26,023,L0015
27,024,L0016
28,025,L0017
29,026,L0018
30,027,L0019
31,028,L0020
32,029,L0021
33,030,L0022
34,031,L0023
35,032,L0024
36,033,L0025
37,034,L0026
38,035,L0027
39,036,L0028
40,037,L0029
41,038,L0030
42,039,L0031
43,040,L0032
44,041,L0033
45,042,L0034
46,043,L0035
47,044,L0036
48,045,L0037
49,046,L0038
50,047,L0039
51,048,L0040
52,049,L0041
53,050,L0042
54,051,L0043
55,052,L0044
56,053,L0045
57,054,L0046
58,055,L0047
59,056,L0048
60,057,L0049
61,058,L0050
62,059,L0051
63,060,L0052
64,061,L0053
65,062,L0054
66,063,L0055
67,064,L0056
68,065,PE001
69,066,PE001
70,067,PE001
