TASK DESCRIPTION,Worker ID,Name,Resource Names,Foreman ID
    PRE-CONSTRUCTION PHASE,,,,
        Project planning and mobilization,,,,
            Site Suvey and Investigation,PE001,Project Engineer,Project Engineer,
            Preparation of Project Billboard/Signboard,L001, Laborer 1,Skilled Laborer,F001
,L002, Laborer 2,Unskilled Laborer,F001
,L003, Laborer 3,Unskilled Laborer,F001
            Safety Orientation and Occupational Safety and Health Program,SP001,Safety Practioner,Safey Practitioner,F001
,FA001,First Aider,First Aider,F001
"            Permits, Clearances, and Insurances",PE001,Project Engineer,Project Engineer,F001
            Mobilization of Equipment and personnel,PE001,Project Engineer,Project Engineer,F001
,L004,Laborer 4,Skilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
,L007,Laborer 7,Unskilled Laborer,F001
        Design and Documentation,,,,
            Final Design Review and Approval,PE001,Project Engineer,Project Engineer,F001
            Construction Drawings and Specifications,PE001,Project Engineer,Project Engineer,F001
            Procurement Scheduling,PE001,Project Engineer,Project Engineer,F001
    DEMOLITION AND CONSTRUCTION,,,,
        Civil and Structural Works,,,,
            Site Preparation,,,,
                Removal of Structures and Obstructions,L008,Laborer 8,Unskilled Laborer,F001
,L009,Laborer 9,Unskilled Laborer,F001
,L010,Laborer 10,Unskilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
                Structure Excavation (Common Soil),L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
,L016,Laborer 16,Unskilled Laborer,F001
            Foundation and Structural Concrete,,,,
"                Structural Concrete (Class A, 28 days)",LM001,Leadman 1,Leadman,F001
,LM002,Leadman 2,Leadman,F001
,LM003,Leadman 3,Leadman,F001
,LM004,Leadman 4,Leadman,F001
,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Skilled Laborer,F001
,L003,Laborer 3,Skilled Laborer,F001
,L004,Laborer 4,Skilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
,L007,Laborer 7,Unskilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
,L009,Laborer 9,Unskilled Laborer,F001
,L010,Laborer 10,Unskilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
,L016,Laborer 16,Unskilled Laborer,F001
,L017,Laborer 17,Unskilled Laborer,F001
,L018,Laborer 18,Unskilled Laborer,F001
,L019,Laborer 19,Unskilled Laborer,F001
,L020,Laborer 20,Unskilled Laborer,F001
"                Structural Concrete (Class A, 28 days)",L021,Laborer 21,Skilled Laborer,F001
,L022,Laborer 22,Skilled Laborer,F001
,L023,Laborer 23,Unskilled Laborer,F001
,L024,Laborer 24,Unskilled Laborer,F001
,L025,Laborer 25,Unskilled Laborer,F001
,L026,Laborer 26,Unskilled Laborer,F001
,L027,Laborer 27,Unskilled Laborer,F001
,L028,Laborer 28,Unskilled Laborer,F001
                Reinforcing Steel,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Skilled Laborer,F001
,L003,Laborer 3,Skilled Laborer,F001
,L004,Laborer 4,Skilled Laborer,F001
,L005,Laborer 5,Skilled Laborer,F001
,L006,Laborer 6,Skilled Laborer,F001
,L007,Laborer 7,Skilled Laborer,F001
,L008,Laborer 8,Skilled Laborer,F001
,L009,Laborer 9,Skilled Laborer,F001
,L010,Laborer 10,Skilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
                Forms and Falsework,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Skilled Laborer,F001
,L003,Laborer 3,Unskilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
            Structural Steel Works,,,,
                Structural Steel (Furnished Fabricated & Erected),L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Skilled Laborer,F001
,L003,Laborer 3,Skilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
,L007,Laborer 7,Unskilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
,L009,Laborer 9,Unskilled Laborer,F001
                Structural Steel (Trusses),L010,Laborer 10,Skilled Laborer,F001
,L011,Laborer 11,Skilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
                Structural Steel (Purlins),L016,Laborer 16,Skilled Laborer,F001
,L017,Laborer 17,Skilled Laborer,F001
,L018,Laborer 18,Unskilled Laborer,F001
,L019,Laborer 19,Unskilled Laborer,F001
,L020,Laborer 20,Unskilled Laborer,F001
,L021,Laborer 21,Unskilled Laborer,F001
                Metal Railings,L022,Laborer 22,Skilled Laborer,F001
,L023,Laborer 23,Skilled Laborer,F001
,L024,Laborer 24,Unskilled Laborer,F001
,L025,Laborer 25,Unskilled Laborer,F001
,L026,Laborer 26,Unskilled Laborer,F001
,L027,Laborer 27,Unskilled Laborer,F001
        Sanitary and Plumbing Works,,,,
            Catch Basin,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Unskilled Laborer,F001
,L003,Laborer 3,Unskilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
            Plumbing System Installation,L005,Laborer 5,Skilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
,L007,Laborer 7,Unskilled Laborer,F001
        Architectural and Finishing Works,,,,
            Ceiling and Wall Finishes,,,,
                Ceiling Item,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Unskilled Laborer,F001
,L003,Laborer 3,Unskilled Laborer,F001
                Ceiling Framing,L004,Laborer 4,Skilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
                Cement Plaster Finish,L007,Laborer 7,Skilled Laborer,F001
,L008,Laborer 8,Skilled Laborer,F001
,L009,Laborer 9,Unskilled Laborer,F001
,L010,Laborer 10,Unskilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
"            Doors, Windows, and Glazing",,,,
                Alumium Metal Cladding,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Skilled Laborer,F001
,L003,Laborer 3,Unskilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
                Wooden Panel Door,L007,Laborer 7,Skilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
,L009,Laborer 9,Unskilled Laborer,F001
                Tempered Glass Window,L010,Laborer 10,Skilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
                Prepainted Metal Sheets,L012,Laborer 12,Skilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
            Flooring and Tiling Works,,,,
                Glazed Tiles and Trims,L0015,Laborer 15,Skilled Laborer,F001
,L0016,Laborer 16,Skilled Laborer,F001
,L0017,Laborer 17,Skilled Laborer,F001
,L0018,Laborer 18,Skilled Laborer,F001
,L0019,Laborer 19,Skilled Laborer,F001
,L0020,Laborer 20,Unskilled Laborer,F001
,L0021,Laborer 21,Unskilled Laborer,F001
,L0022,Laborer 22,Unskilled Laborer,F001
,L0023,Laborer 23,Unskilled Laborer,F001
,L0024,Laborer 24,Unskilled Laborer,F001
            Waterproofing and Installation,,,,
                Liquid Waterproofing,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Unskilled Laborer,F001
                Reflective Installation,L003,Laborer 3,Skilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
,L005,Laborer 5,Unskilled Laborer,F001
            Painting Works,,,,
                Painting Works (Masonry),L006,Laborer 6,Skilled Laborer,F001
,L007,Laborer 7,Skilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
                Painting Works (Metal),LM001,Leadman 1,Leadman,F001
,LM002,Leadman 2,Leadman,F001
,LM003,Leadman 3,Leadman,F001
,LM004,Leadman 4,Leadman,F001
,L008,Laborer 8,Skilled Laborer,F001
,L009,Laborer 9,Skilled Laborer,F001
,L010,Laborer 10,Skilled Laborer,F001
,L011,Laborer 11,Skilled Laborer,F001
,L012,Laborer 12,Skilled Laborer,F001
,L013,Laborer 13,Skilled Laborer,F001
,L014,Laborer 14,Skilled Laborer,F001
,L015,Laborer 15,Skilled Laborer,F001
,L016,Laborer 16,Unskilled Laborer,F001
,L017,Laborer 17,Unskilled Laborer,F001
,L018,Laborer 18,Unskilled Laborer,F001
,L019,Laborer 19,Unskilled Laborer,F001
        Electrical Work,,,,
"            Conduits, Boxes & Fittings",L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Unskilled Laborer,F001
,L003,Laborer 3,Unskilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
            Wires and Wiring Devices,L005,Laborer 5,Skilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
,L007,Laborer 7,Unskilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
            Panelboard with Main and Branch Breakers,L009,Laborer 9,Skilled Laborer,F001
,L010,Laborer 10,Unskilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
            Lighting Fixtures and Lamps,L012,Laborer 12,Skilled Laborer,F001
,L013,Laborer 13,Unskilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
            Auxiliary System,L016,Laborer 16,Skilled Laborer,F001
,L017,Laborer 17,Unskilled Laborer,F001
,L018,Laborer 18,Unskilled Laborer,F001
            Electric Elevator,L019,Laborer 19,Skilled Laborer,F001
,L020,Laborer 20,Skilled Laborer,F001
,L021,Laborer 21,Unskilled Laborer,F001
,L022,Laborer 22,Unskilled Laborer,F001
,L023,Laborer 23,Unskilled Laborer,F001
    Post Construction Activities,,,,
        Testing and Commissioning,,,,
            Testing of Plumbing and Sanitary System,L001,Laborer 1,Skilled Laborer,F001
,L002,Laborer 2,Unskilled Laborer,F001
            Testing of Electrical Systems,L003,Laborer 3,Skilled Laborer,F001
,L004,Laborer 4,Unskilled Laborer,F001
            Elevator Testing and Certification,L005,Laborer 5,Skilled Laborer,F001
,L006,Laborer 6,Unskilled Laborer,F001
            Finishing Punch List and Rectification,L007,Laborer 7,Skilled Laborer,F001
,L008,Laborer 8,Unskilled Laborer,F001
        Demobilization and Turnover,,,,
            Site Clean-Up and Waste Disposal,L009,Laborer 9,Skilled Laborer,F001
,L010,Laborer 10,Unskilled Laborer,F001
,L011,Laborer 11,Unskilled Laborer,F001
,L012,Laborer 12,Unskilled Laborer,F001
            Demobolization of Equipment and Personnel,L013,Laborer 13,Skilled Laborer,F001
,L014,Laborer 14,Unskilled Laborer,F001
,L015,Laborer 15,Unskilled Laborer,F001
,L016,Laborer 16,Unskilled Laborer,F001
            Preparation of As-Built Drawings,PE001,Project Engineer,Project Engineer,
            Final Inspection and Acceptance,PE001,Project Engineer,Project Engineer,
            Project Turover to Client,PE001,Project Engineer,Project Engineer,
