Worker ID,Name,Resource Names,Foreman ID
PE001,Project Engineer,Project Engineer,
L001, Laborer 1,Skilled Laborer,F001
L002, Laborer 2,Unskilled Laborer,F001
L003, Laborer 3,Unskilled Laborer,F001
SP001,Safety Practioner,Safey Practitioner,F001
FA001,First Aider,First Aider,F001
PE001,Project Engineer,Project Engineer,F001
PE001,Project Engineer,Project Engineer,F001
L004,Laborer 4,Skilled Laborer,F001
L005,Laborer 5,Unskilled Laborer,F001
L006,Laborer 6,Unskilled Laborer,F001
L007,Laborer 7,Unskilled Laborer,F001
PE001,Project Engineer,Project Engineer,F001
PE001,Project Engineer,Project Engineer,F001
PE001,Project Engineer,Project Engineer,F001
L008,Laborer 8,Unskilled Laborer,F001
L009,Laborer 9,Unskilled Laborer,F001
L010,Laborer 10,Unskilled Laborer,F001
L011,Laborer 11,Unskilled Laborer,F001
L012,Laborer 12,Unskilled Laborer,F001
L013,Laborer 13,Unskilled Laborer,F001
L014,Laborer 14,Unskilled Laborer,F001
L015,Laborer 15,Unskilled Laborer,F001
L016,Laborer 16,Unskilled Laborer,F001
LM001,Leadman 1,Leadman,F001
LM002,Leadman 2,Leadman,F001
LM003,Leadman 3,Leadman,F001
LM004,Leadman 4,Leadman,F001
L001,Laborer 1,Skilled Laborer,F001
L002,Laborer 2,Skilled Laborer,F001
L003,Laborer 3,Skilled Laborer,F001
L004,Laborer 4,Skilled Laborer,F001
L005,Laborer 5,Unskilled Laborer,F001
L006,Laborer 6,Unskilled Laborer,F001
L007,Laborer 7,Unskilled Laborer,F001
L008,Laborer 8,Unskilled Laborer,F001
L009,Laborer 9,Unskilled Laborer,F001
L010,Laborer 10,Unskilled Laborer,F001
L011,Laborer 11,Unskilled Laborer,F001
L012,Laborer 12,Unskilled Laborer,F001
L013,Laborer 13,Unskilled Laborer,F001
L014,Laborer 14,Unskilled Laborer,F001
L015,Laborer 15,Unskilled Laborer,F001
L016,Laborer 16,Unskilled Laborer,F001
L017,Laborer 17,Unskilled Laborer,F001
L018,Laborer 18,Unskilled Laborer,F001
L019,Laborer 19,Unskilled Laborer,F001
L020,Laborer 20,Unskilled Laborer,F001
L021,Laborer 21,Skilled Laborer,F001
L022,Laborer 22,Skilled Laborer,F001
L023,Laborer 23,Unskilled Laborer,F001
L024,Laborer 24,Unskilled Laborer,F001
L025,Laborer 25,Unskilled Laborer,F001
L026,Laborer 26,Unskilled Laborer,F001
L027,Laborer 27,Unskilled Laborer,F001
L028,Laborer 28,Unskilled Laborer,F001
L001,Laborer 1,Skilled Laborer,F001
L002,Laborer 2,Skilled Laborer,F001
L003,Laborer 3,Skilled Laborer,F001
L004,Laborer 4,Skilled Laborer,F001
L005,Laborer 5,Skilled Laborer,F001
L006,Laborer 6,Skilled Laborer,F001
L007,Laborer 7,Skilled Laborer,F001
