TaskID,WBS_Code,Task_Description,Duration,Start,Finish,Predecessors
2,1.1,"    PRE-CONSTRUCTION PHASE",3,2025-10-07,2025-10-10,
3,1.1.1,"        Project planning and mobilization",3,2025-10-07,2025-10-10,
4,1.1.1.1,"            Site Suvey and Investigation",1,2025-10-07,2025-10-07,
5,1.1.1.2,"            Preparation of Project Billboard/Signboard",5,2025-10-07,2025-10-10,
6,1.1.1.3,"            Safety Orientation and Occupational Safety and Health Program",1,2025-10-07,2025-10-07,3
7,1.1.1.4,"            Permits, Clearances, and Insurances",2,2025-10-07,2025-10-08,
8,1.1.1.5,"            Mobilization of Equipment and personnel",1,2025-10-07,2025-10-07,
9,1.1.2,"        Design and Documentation",1,2025-10-07,2025-10-07,3
10,1.1.2.1,"            Final Design Review and Approval",1,2025-10-07,2025-10-07,
11,1.1.2.2,"            Construction Drawings and Specifications",1,2025-10-07,2025-10-07,
12,1.1.2.3,"            Procurement Scheduling",1,2025-10-07,2025-10-07,
13,1.2,"    DEMOLITION AND CONSTRUCTION",20,2025-10-10,2025-11-07,9
14,1.2.1,"        Civil and Structural Works",16,2025-10-10,2025-11-03,9
15,1.2.1.1,"            Site Preparation",6,2025-10-10,2025-10-20,
16,1.2.1.1.1,"                Removal of Structures and Obstructions",11,2025-10-10,2025-10-20,
17,1.2.1.1.2,"                Structure Excavation (Common Soil)",5,2025-10-10,2025-10-15,
18,1.2.1.2,"            Foundation and Structural Concrete",16,2025-10-10,2025-11-03,14
19,1.2.1.2.1,"                Structural Concrete (Class A, 28 days)",28,2025-10-10,2025-11-03,
20,1.2.1.2.2,"                Structural Concrete (Class B, 28 days)",11,2025-10-10,2025-10-20,
21,1.2.1.2.3,"                Reinforcing Steel",18,2025-10-10,2025-10-24,
22,1.2.1.2.4,"                Forms and Falsework",7,2025-10-10,2025-10-16,
23,1.2.1.3,"            Structural Steel Works",6,2025-10-10,2025-10-20,18
24,1.2.1.3.1,"                Structural Steel (Furnished Fabricated & Erected)",11,2025-10-10,2025-10-20,
25,1.2.1.3.2,"                Structural Steel (Trusses)",3,2025-10-10,2025-10-14,
26,1.2.1.3.3,"                Structural Steel (Purlins)",7,2025-10-10,2025-10-16,
27,1.2.1.3.4,"                Metal Railings",7,2025-10-10,2025-10-16,
28,1.2.2,"        Sanitary and Plumbing Works",3,2025-10-10,2025-10-15,24
29,1.2.2.1,"            Catch Basin",5,2025-10-10,2025-10-15,
30,1.2.2.2,"            Plumbing System Installation",3,2025-10-10,2025-10-14,
31,1.2.3,"        Architectural and Finishing Works",20,2025-10-10,2025-11-07,28
32,1.2.3.1,"            Ceiling and Wall Finishes",4,2025-10-10,2025-10-16,
33,1.2.3.1.1,"                Ceiling Item",3,2025-10-10,2025-10-14,
34,1.2.3.1.2,"                Ceiling Framing",1,2025-10-10,2025-10-13,
35,1.2.3.1.3,"                Cement Plaster Finish",7,2025-10-10,2025-10-16,
36,1.2.3.2,"            Doors, Windows, and Glazing",4,2025-11-03,2025-11-07,31
37,1.2.3.2.1,"                Alumium Metal Cladding",6,2025-11-03,2025-11-07,
38,1.2.3.2.2,"                Wooden Panel Door",3,2025-11-03,2025-11-05,
39,1.2.3.2.3,"                Tempered Glass Window",1,2025-11-03,2025-11-04,
40,1.2.3.2.4,"                Prepainted Metal Sheets",3,2025-11-03,2025-11-05,
41,1.2.3.3,"            Flooring and Tiling Works",5,2025-10-10,2025-10-17,36
42,1.2.3.3.1,"                Glazed Tiles and Trims",9,2025-10-10,2025-10-17,
43,1.2.3.4,"            Waterproofing and Installation",2,2025-10-10,2025-10-14,41
44,1.2.3.4.1,"                Liquid Waterproofing",1,2025-10-10,2025-10-13,
45,1.2.3.4.2,"                Reflective Installation",3,2025-10-10,2025-10-14,
46,1.2.3.5,"            Painting Works",8,2025-10-10,2025-10-22,43
47,1.2.3.5.1,"                Painting Works (Masonry)",3,2025-10-10,2025-10-14,
48,1.2.3.5.2,"                Painting Works (Metal)",15,2025-10-10,2025-10-22,
49,1.2.4,"        Electrical Work",4,2025-11-03,2025-11-07,46
50,1.2.4.1,"            Conduits, Boxes & Fittings",5,2025-11-03,2025-11-06,
51,1.2.4.2,"            Wires and Wiring Devices",6,2025-11-03,2025-11-07,
52,1.2.4.3,"            Panelboard with Main and Branch Breakers",3,2025-11-03,2025-11-05,
53,1.2.4.4,"            Lighting Fixtures and Lamps",5,2025-11-03,2025-11-06,
54,1.2.4.5,"            Auxiliary System",3,2025-11-03,2025-11-05,
55,1.2.4.6,"            Electric Elevator",1,2025-11-03,2025-11-04,
56,1.3,"    Post Construction Activities",6,2025-11-07,2025-11-17,49
57,1.3.1,"        Testing and Commissioning",1,2025-11-07,2025-11-10,
58,1.3.1.1,"            Testing of Plmbing and Sanitary System",1,2025-11-07,2025-11-10,
59,1.3.1.2,"            Testing of Electrical Systems",1,2025-11-07,2025-11-10,
60,1.3.1.3,"            Elevator Testing and Certification",1,2025-11-07,2025-11-10,
61,1.3.1.4,"            Finishing Punch List and Rectification",1,2025-11-07,2025-11-10,
62,1.3.2,"        Demobilization and Turnover",6,2025-11-07,2025-11-17,56
63,1.3.2.1,"            Site Clean-Up and Waste Disposal",1,2025-11-10,2025-11-11,62
64,1.3.2.2,"            Demobolization of Equipment and Personnel",3,2025-11-11,2025-11-13,63
65,1.3.2.3,"            Preparation of As-Built Drawings",1,2025-11-07,2025-11-10,64
66,1.3.2.4,"            Final Inspection and Acceptance",1,2025-11-13,2025-11-14,65
67,1.3.2.5,"            Project Turover to Client",1,2025-11-14,2025-11-17,66
