WorkerID,WorkerName,Position
1,"Project Engineer","Project Engineer"
2,"Laborer 1","Skilled Laborer"
3,"Laborer 2","Unskilled Laborer"
4,"Laborer 3","Unskilled Laborer"
5,"Safety Practioner","Safey Practitioner"
6,"First Aider","First Aider"
7,"Laborer 4","Skilled Laborer"
8,"Laborer 5","Unskilled Laborer"
9,"Laborer 6","Unskilled Laborer"
10,"Laborer 7","Unskilled Laborer"
11,"Laborer 8","Unskilled Laborer"
12,"Laborer 9","Unskilled Laborer"
13,"Laborer 10","Unskilled Laborer"
14,"Laborer 11","Unskilled Laborer"
15,"Laborer 12","Unskilled Laborer"
16,"Laborer 13","Unskilled Laborer"
17,"Laborer 14","Unskilled Laborer"
18,"Laborer 15","Unskilled Laborer"
19,"Laborer 16","Unskilled Laborer"
20,"Leadman 1",Leadman
21,"Leadman 2",Leadman
22,"Leadman 3",Leadman
23,"Leadman 4",Leadman
24,"Laborer 17","Unskilled Laborer"
25,"Laborer 18","Unskilled Laborer"
26,"Laborer 19","Unskilled Laborer"
27,"Laborer 20","Unskilled Laborer"
28,"Laborer 21","Skilled Laborer"
29,"Laborer 22","Skilled Laborer"
30,"Laborer 23","Unskilled Laborer"
31,"Laborer 24","Unskilled Laborer"
32,"Laborer 25","Unskilled Laborer"
33,"Laborer 26","Unskilled Laborer"
34,"Laborer 27","Unskilled Laborer"
35,"Laborer 28","Unskilled Laborer"
36,"Laborer 15","Skilled Laborer"
37,"Laborer 16","Skilled Laborer"
38,"Laborer 17","Skilled Laborer"
39,"Laborer 18","Skilled Laborer"
40,"Laborer 19","Skilled Laborer"
41,"Laborer 20","Unskilled Laborer"
42,"Laborer 21","Unskilled Laborer"
43,"Laborer 22","Unskilled Laborer"
44,"Laborer 23","Unskilled Laborer"
45,"Laborer 24","Unskilled Laborer"
